TCGA-AG-3881-01A-01W-0899-10	TCGA-EI-6506-01A-11D-1733-10	TCGA-AH-6897-01A-11D-1924-10	TCGA-AH-6903-01A-11D-1924-10	TCGA-AG-4015-01A-01W-1073-09	TCGA-AG-3605-01A-01D-1989-10	TCGA-DT-5265-01A-21D-1826-10	TCGA-EI-6513-01A-21D-1733-10	TCGA-DC-6158-01A-11D-1657-10	TCGA-EI-6512-01A-11D-1733-10	TCGA-AF-5654-01A-01D-1657-10	TCGA-EI-6885-01A-11D-1924-10	TCGA-AG-A015-01A-01D-A183-10	TCGA-EI-7002-01A-11D-1924-10	TCGA-G5-6572-02A-12D-1826-10	TCGA-EI-6514-01A-11D-1733-10	TCGA-AG-3592-01A-02D-1733-10	TCGA-AF-A56K-01A-32D-A38X-10	TCGA-AG-A00H-01A-01W-A00E-09	TCGA-DC-4745-01A-01D-1733-10	TCGA-DC-5337-01A-01D-1657-10	TCGA-AG-3726-01A-02W-0899-10	TCGA-EI-6917-01A-11D-1924-10	TCGA-DC-6682-01A-11D-1826-10	TCGA-AG-3574-01A-01D-1989-10	TCGA-AF-2690-01A-02D-1733-10	TCGA-AG-A015-01A-01W-A00K-09	TCGA-DC-6154-01A-31D-1924-10	TCGA-DC-6157-01A-11D-1657-10	TCGA-EI-6883-01A-31D-1924-10	TCGA-AG-3598-01A-01D-1989-10	TCGA-F5-6571-01A-12D-1826-10	TCGA-F5-6861-01A-11D-1924-10	TCGA-DY-A1DC-01A-31D-A152-10	TCGA-EF-5830-01A-01D-1657-10	TCGA-AG-3894-01A-01W-1073-09	TCGA-EI-6510-01A-11D-1733-10	TCGA-AG-3599-01A-02D-1989-10	TCGA-AG-A036-01A-12W-A096-10	TCGA-AG-3999-01A-01W-1073-09	TCGA-AH-6549-01A-11D-1826-10	TCGA-AF-3914-01A-01W-1073-09	TCGA-AG-4001-01A-02W-1073-09	TCGA-AH-6547-01A-11D-1826-10	TCGA-AG-3580-01A-01D-1989-10	TCGA-AG-3591-01A-01D-1733-10	TCGA-AG-3878-01A-02W-0899-10	TCGA-AG-3581-01A-01D-1989-10	TCGA-AG-3890-01A-01W-1073-09	TCGA-AG-3898-01A-01W-1073-09	TCGA-AG-3731-01A-11D-1733-10	TCGA-AG-4008-01A-01W-1073-09	TCGA-AG-A01L-01A-01W-A00K-09	TCGA-AG-4005-01A-01W-1073-09	TCGA-AG-3883-01A-02W-0899-10	TCGA-AG-3893-01A-01W-1073-09	TCGA-AF-3400-01A-01D-1989-10	TCGA-AG-A02N-01A-11W-A096-10	TCGA-CI-6622-01A-11D-1826-10	TCGA-DY-A0XA-01A-11D-A152-10	TCGA-F5-6811-01A-11D-1826-10	TCGA-AG-A032-01A-01W-A00E-09	TCGA-AF-6672-01A-11D-1826-10	TCGA-AG-A01N-01A-01W-A00E-09	TCGA-F5-6864-01A-11D-1924-10	TCGA-G5-6572-01A-11D-1826-10	TCGA-AG-3728-01A-01W-0899-10	TCGA-AG-A020-01A-21W-A096-10	TCGA-BM-6198-01A-11D-1733-10	TCGA-AG-3901-01A-01W-1073-09	TCGA-AF-2692-01A-01D-1989-10	TCGA-DC-6683-01A-11D-1826-10	TCGA-DC-6160-01A-11D-1657-10	TCGA-AF-A56N-01A-12D-A38X-10	TCGA-EI-6509-01A-11D-1733-10	TCGA-AG-A014-01A-02W-A00K-09	TCGA-EI-6881-01A-11D-1924-10	TCGA-AF-6136-01A-11D-1826-10	TCGA-F5-6813-01A-11D-1826-10	TCGA-AG-3575-01A-01D-1989-10	TCGA-F5-6863-01A-11D-1924-10	TCGA-AG-A016-01A-01W-A00K-09	TCGA-AH-6643-01A-11D-1826-10	TCGA-F5-6812-01A-11D-1826-10	TCGA-AG-4007-01A-01W-1073-09	TCGA-AF-2691-01A-01D-1989-10	TCGA-AG-3732-01A-11D-1657-10	TCGA-AG-3882-01A-01W-0899-10	TCGA-DC-6681-01A-11D-1826-10	TCGA-AF-4110-01A-02D-1733-10	TCGA-DY-A1DG-01A-11D-A152-10	TCGA-AG-A025-01A-01W-A00E-09	TCGA-AG-A02N-01A-11D-A183-10	TCGA-DY-A1DF-01A-11D-A152-10	TCGA-DY-A1H8-01A-21D-A152-10	TCGA-DC-6155-01A-11D-1657-10	TCGA-F5-6702-01A-11D-1826-10	TCGA-CL-5918-01A-11D-1657-10	TCGA-F5-6465-01A-11D-1733-10	TCGA-EI-6508-01A-11D-1733-10	TCGA-AG-3742-01A-11D-1657-10	TCGA-AH-6644-01A-21D-1826-10	TCGA-AF-A56L-01A-31D-A38X-10	TCGA-AG-3892-01A-01D-1989-10	TCGA-EI-6882-01A-11D-1924-10	TCGA-G5-6233-01A-11D-1733-10	TCGA-AG-3727-01A-01W-0899-10	TCGA-CI-6620-01A-11D-1826-10	TCGA-EI-6884-01A-11D-1924-10	TCGA-G5-6235-01A-11D-1733-10	TCGA-AF-2687-01A-02D-1733-10	TCGA-AG-A00Y-01A-02W-A00K-09	TCGA-AG-3594-01A-02D-1989-10	TCGA-AG-3892-01A-01W-1073-09	TCGA-CI-6624-01C-11D-1826-10	TCGA-AG-3583-01A-01D-1989-10	TCGA-AG-3896-01A-01W-1073-09	TCGA-AG-A01W-01A-21W-A096-10	TCGA-AG-A01J-01A-01W-A00E-09	TCGA-CL-4957-01A-01D-1733-10	TCGA-AG-3725-01A-11D-1733-10	TCGA-AG-A00C-01A-01W-A00K-09	TCGA-AG-A00C-01A-01D-A183-10	TCGA-DC-4749-01A-01D-1733-10	TCGA-AG-A008-01A-01W-A00K-09	TCGA-AG-A008-01A-01D-A183-10	TCGA-AF-6655-01A-11D-1826-10	TCGA-AG-3891-01A-01W-1073-09	TCGA-DY-A1DD-01A-21D-A152-10	TCGA-AG-4022-01A-01D-1733-10	TCGA-AH-6544-01A-11D-1826-10	TCGA-AG-A023-01A-01W-A00E-09	TCGA-AG-3584-01A-01D-1989-10	TCGA-AG-3906-01A-01W-1073-09	TCGA-EI-7004-01A-11D-1924-10	TCGA-EI-6507-01A-11D-1733-10	TCGA-AG-3602-01A-02D-1989-10	TCGA-AG-A02X-01A-01W-A00E-09	TCGA-AG-A026-01A-32W-A096-10	TCGA-CI-6621-01A-11D-1826-10	TCGA-AG-A02G-01A-01W-A00E-09	TCGA-AF-3911-01A-01D-1733-10	TCGA-AG-3909-01A-01W-1073-09	TCGA-CL-5917-01A-11D-1657-10	TCGA-F5-6464-01A-11D-1733-10	TCGA-AG-3887-01A-01W-1073-09	TCGA-AG-4021-01A-01D-1733-10	TCGA-F5-6814-01A-31D-1924-10	TCGA-CI-6619-01B-11D-1826-10	TCGA-AG-A01Y-01A-41W-A096-10	TCGA-CI-6623-01B-11D-1826-10	TCGA-DC-5869-01A-01D-1657-10	TCGA-AG-3885-01A-01W-0899-10	TCGA-G5-6641-01A-11D-1826-10	TCGA-AF-3913-01A-02W-1073-09	TCGA-AG-A002-01A-01W-A00K-09	TCGA-AG-3902-01A-01W-1073-09	TCGA-AF-2693-01A-02D-1733-10	TCGA-AF-2689-01A-01D-1989-10	TCGA-EF-5831-01A-01D-1811-10	TCGA-F5-6810-01A-11D-1826-10
SPTA1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0
CTNNB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXW7	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0
APC	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1
TNFAIP3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KMT2C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
PTPRD	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
COL5A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
KRAS	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0
RB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
